Timestamp,survey_type,Q1,Q1_score,Q2,Q2_score,Q3,Q3_score,Q4,Q4_score,Q5,Q5_score,Q5_Tier1,Q5_Tier2,Q5_Tier3,Q5_Tier4,Q5_Tier5,Q5_Tier6
11/5/2021 8:53,pre,freshwater,0,Overfishing,1,dont know,0,what.,0,idk,0,NA,,,,,
11/5/2021 8:54,pre,high relief,1,Pollution,0,e,0,e,0,e,0,NA,,,,,
11/5/2021 8:54,pre,freshwater,0,Overfishing,1,No idea,0,No idea,0,Because we dont want them to go extinct. Fish taste good. Fish probably help our environment somehow.,1,both,extinction,"general human benefit, general environmental benefit",Food,NA,
11/5/2021 8:54,pre,pelagic,0,Pollution,0,computer,0,idk,0,"pollution, the population is going down, we need them to survive",0,both,population decline,general human benefit,NA,,
11/5/2021 8:54,pre,freshwater,0,Overfishing,1,cameras and electrical currents,1,"dorsal fin, and pectoral fins",2,because fish help the environment and they feed us ,1,benefit,,"general human benefit, general environmental benefit",Food,NA,
11/5/2021 8:55,pre,pelagic,0,Overfishing,1,i dont know ,0,i dont know ,0,i dont know ,0,NA,,,,,
11/5/2021 8:55,pre,freshwater,0,Pollution,0,idk,0,idk,0,rockfish may have a limited about of prey and fish with decease mamba passed on to other fish ,1,benefit,,general environmental benefit,,Foodweb,
11/5/2021 8:55,pre,pelagic,0,Pollution,0,i dont know,0,i dont know,0,i dont know,0,NA,,,,,
11/5/2021 8:55,pre,freshwater,0,Lack of food,0,drones or waterproof cameras,2,hard and they look like a rock?,0,first we should care about the fish because we need to save them from the pollution.,0,negative,pollution,,,,
11/5/2021 8:56,pre,freshwater,0,Pollution,0,sonar detector,0,They have rock in their scales and they have fins,0,"1.Because they taste good 2. people care about animals, like fish 3. they help keep the ecosystem god",2,benefit,,"general human benefit, general environmental benefit, inherent benefit","Food, Culture",NA,"People  care about animals, like fish"
11/5/2021 8:56,pre,high relief,1,Pollution,0,maybe they use a camera or recordings,1,dorsal fins and large sides,2,because a lot of the fish are going extinct due to climate change,0,negative,"extinction, climate change",,,,
